pair,subject,window_ms,fold,accuracy,val_accuracy,best_epoch,n_test
WAA/SAA,1,800,1,57.77777777777778,66.66666666666667,1,45
WAA/SAA,1,800,2,40.0,33.333333333333336,2,45
WAA/SAA,1,1500,1,62.22222222222222,41.666666666666664,1,45
WAA/SAA,1,1500,2,53.333333333333336,50.0,1,45
WAA/SAA,1,3000,1,53.333333333333336,58.333333333333336,1,45
WAA/SAA,1,3000,2,57.77777777777778,50.0,2,45
WAA/SAA,1,4000,1,37.77777777777778,58.333333333333336,2,45
WAA/SAA,1,4000,2,42.22222222222222,41.666666666666664,2,45
WAA/SAA,2,800,1,52.5,50.0,1,40
WAA/SAA,2,800,2,50.0,50.0,2,40
WAA/SAA,2,1500,1,47.5,50.0,1,40
WAA/SAA,2,1500,2,52.5,50.0,1,40
WAA/SAA,2,3000,1,65.0,80.0,2,40
WAA/SAA,2,3000,2,52.5,50.0,1,40
WAA/SAA,2,4000,1,52.5,70.0,1,40
WAA/SAA,2,4000,2,57.5,60.0,1,40
