pair,mode,subject,window_ms,fold,accuracy,val_accuracy,n_test
SAA/SFE,raw,1,4000,1,33.333333333333336,55.55555555555556,18
SAA/SFE,raw,1,4000,2,55.55555555555556,72.22222222222223,18
SAA/SFE,raw,1,4000,3,61.111111111111114,83.33333333333333,18
SAA/SFE,raw,1,4000,4,55.55555555555556,66.66666666666667,18
SAA/SFE,raw,1,4000,5,50.0,72.22222222222223,18
SAA/SFE,raw,2,4000,1,50.0,56.25,16
SAA/SFE,raw,2,4000,2,50.0,68.75,16
SAA/SFE,raw,2,4000,3,62.5,56.25,16
SAA/SFE,raw,2,4000,4,68.75,56.25,16
SAA/SFE,raw,2,4000,5,37.5,50.0,16
SAA/SFE,raw,3,4000,1,62.5,50.0,16
SAA/SFE,raw,3,4000,2,81.25,75.0,16
SAA/SFE,raw,3,4000,3,56.25,68.75,16
SAA/SFE,raw,3,4000,4,75.0,62.5,16
SAA/SFE,raw,3,4000,5,50.0,62.5,16
SAA/SFE,raw,4,4000,1,50.0,68.75,16
SAA/SFE,raw,4,4000,2,68.75,62.5,16
SAA/SFE,raw,4,4000,3,50.0,68.75,16
SAA/SFE,raw,4,4000,4,43.75,68.75,16
SAA/SFE,raw,4,4000,5,37.5,68.75,16
SAA/SFE,raw,5,4000,1,52.94117647058823,68.75,17
SAA/SFE,raw,5,4000,2,50.0,52.94117647058823,16
SAA/SFE,raw,5,4000,3,56.25,70.58823529411765,16
SAA/SFE,raw,5,4000,4,37.5,64.70588235294117,16
SAA/SFE,raw,5,4000,5,37.5,64.70588235294117,16
SAA/SFE,raw,6,4000,1,56.25,62.5,16
SAA/SFE,raw,6,4000,2,75.0,50.0,16
SAA/SFE,raw,6,4000,3,75.0,50.0,16
SAA/SFE,raw,6,4000,4,56.25,62.5,16
SAA/SFE,raw,6,4000,5,62.5,68.75,16
